Library,Operation,Type
genomicranges,nearest,binary
genomicranges,intersection,binary
genomicranges,subtract,binary
genomicranges,merge,unary
genomicranges,cluster,unary
bedtools,nearest,binary
bedtools,intersection,binary
bedtools,subtract,binary
bedtools,merge,unary
bedtools,cluster,unary
bioframe,nearest,binary
bioframe,intersection,binary
bioframe,subtract,binary
bioframe,merge,unary
bioframe,cluster,unary
pyranges,nearest,binary
pyranges,intersection,binary
pyranges,subtract,binary
pyranges,merge,unary
pyranges,cluster,unary
